type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Movie,Disney Den Brother,Mark Taylor,"Hutch Dano, G. Hannelius, Maurice Godin, David Lambert, Kelsy Chow, Debra Mooney",United States,12-Nov-19,2010,TV-G,90 min,"Comedy, Coming of Age",A hockey star hangs up his skates and becomes a substitute scoutmaster.
Movie,Disney Descendants,Kenny Ortega,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson, Mitchell Hope, Melanie Paxson",United States,12-Nov-19,2015,TV-G,114 min,"Coming of Age, Fantasy, Musical",The kids of Disney villains are given a shot at redemption at Auradon Prep.
TV Show,Disney Descendants Wicked World (Shorts),,,United States,12-Nov-19,2015,TV-G,2 Seasons,"Animation, Coming of Age, Fantasy",Descendants continues with new animated shorts!
TV Show,Disney DuckTales (Shorts),,,,12-Nov-19,2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",The McDuck family welcomes you to Duckburg!
TV Show,Disney Evermoor,,"Naomi Sequeira, Jordan Loughran, Belinda Stewart-Wilson, Dan Fredenburgh, George Sear, Georgie Farmer",,12-Nov-19,2017,TV-PG,1 Season,Series,Tara Crossley moves to Evermoor and realizes the English countryside is not as sleepy as it seems.
TV Show,Disney Family Sundays,,,United States,12-Nov-19,2019,TV-G,1 Season,"Anthology, Family, Lifestyle",Amber Kemp-Gerstel shares her love of crafting in a series of Disney-themed DIY projects.
TV Show,Disney Fast Layne,,"Sophie Pollono, Sofia Rosinsky, Brandon Rossel, Winslow Fegley",United States,12-Nov-19,2018,TV-G,1 Season,"Action-Adventure, Animation, Comedy",Twelve-year-old Layne Reed discovers a talking car.
Movie,Disney Girl vs. Monster,Stuart Gillard,"Olivia Holt, Kerris Dorsey, Brendan Meyer, Katherine McNamara, Adam Chambers, Tracy Dawson","United States, Canada",12-Nov-19,2012,TV-PG,90 min,"Action-Adventure, Comedy, Fantasy",The daughter of two monster-hunters must take on a monster of her own.
TV Show,Disney Gravity Falls,,"Kristen Schaal, Jason Morgan, Alex Hirsch",United States,12-Nov-19,2011,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",Dipper and Mabel spend the summer with Grunkle Stan.
TV Show,Disney Gravity Falls (Shorts),,,,12-Nov-19,2012,TV-G,1 Season,"Animation, Anthology, Comedy",Twins Dipper and Mabel enter the mysterious town of Gravity Falls for the summer.
TV Show,Disney Jake and the Never Land Pirates,,"Madison Pettis, Colin Ford, Jonathan Heit, David Arquette, Corey Burton",United States,12-Nov-19,2010,TV-Y,4 Seasons,"Action-Adventure, Animation, Fantasy",Jake sails for a treasure hunt against Captain Hook.
TV Show,Disney JONAS,,"Kevin Jonas, Joe Jonas, Nick Jonas, Chelsea Staub, Nicole Anderson, John Ducey",United States,12-Nov-19,2008,TV-G,2 Seasons,"Comedy, Family, Kids","JONAS is the hottest rock band on the planet! Band members Nick, Kevin, and Joe are superstar idols."
TV Show,Disney Junior Music Nursery Rhymes,,,,12-Nov-19,2017,TV-Y,2 Seasons,"Animation, Kids, Musical",Nursery Rhymes re-imagined with Disney Junior!
TV Show,Disney K.C. Undercover,,"Zendaya , Veronica Dunne, Kamil McFadden, Tammy Townsend, Kadeem Hardison",United States,12-Nov-19,2014,TV-Y7,3 Seasons,"Action-Adventure, Comedy, Kids",K.C. joins her spy family as its newest secret agent.
TV Show,Disney Lab Rats: Elite Force,,"William Brent, Bradley Perry, Jake Short, Paris Berelc, Kelli Berglund",United States,12-Nov-19,2015,TV-Y7,1 Season,"Action-Adventure, Comedy, Coming of Age",The Lab Rats join forces with the Mighty Med team.
TV Show,Disney Legend of the Three Caballeros,,"Tony Anselmo, Jaime Camil, Eric Bauza, Grey Griffin, Wayne Knight, Kevin Richardson",United States,12-Nov-19,2017,TV-G,1 Season,"Action-Adventure, Animation, Comedy","Donald, Jose and Panchito inherit a magical atlas and travel the world battling mythical monsters."
TV Show,Disney Mickey Mouse Clubhouse,,"Wayne Allwine, Jim Cummings, Russi Taylor, Tony Anselmo, Bill Farmer, Tress MacNeille",United States,12-Nov-19,2005,TV-Y,5 Seasons,"Animation, Kids",Mickey leads kids on an interactive adventure of learning.
TV Show,Disney Milo Murphy's Law,,"Al Yankovic, Sabrina Carpenter, Mekai Curtis",United States,12-Nov-19,2016,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy","Around Milo, anything that can go wrong, will."
TV Show,Disney Minnie's Bow-Toons (Shorts),,,United States,12-Nov-19,2011,TV-Y,3 Seasons,"Animation, Kids",Minnie Mouse teams up with Daisy to open up Minnie’s Bow-tique.
TV Show,Disney Stuck In The Middle,,"Jenna Ortega, Ronni Hawk, Isaak Presley, Ariana Greenblatt, Kayla Maisonet, Nicolas Bechtel",United States,12-Nov-19,2015,TV-PG,3 Seasons,"Comedy, Coming of Age, Family",Harley is stuck in the middle of a family with 7 kids!
TV Show,Disney Take Two With Phineas And Ferb (Shorts),,,United States,12-Nov-19,2010,TV-G,1 Season,"Animation, Kids, Parody",Real-life celebrities are interviewed by Phineas and Ferb.
TV Show,Disney Tangled: The Series - Short Cuts,,,,12-Nov-19,2016,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Get to know the colorful residents of Corona.
Movie,Disney Under The Sea: A Descendants Short Story,Hasraf Dulull,,,12-Nov-19,2018,TV-G,10 min,"Fantasy, Musical, Thriller",Mal emerges from the forest where she meets Dizzy.
TV Show,Disney's Adventures Of The Gummi Bears,,"Bill Scott, Christian Jacobs, Brett Johnson, David Faustino, Paul Winchell, Jason Marsden",United States,12-Nov-19,1985,TV-Y7,6 Seasons,"Action-Adventure, Animation, Fantasy",The magical Gummi Bears discover their rich history.
TV Show,Disney's Doug,,"Connie Shulman, Doug Preis, Alice Playten, Chris Phillips, Fred Newman, Thomas McHugh",United States,12-Nov-19,1996,TV-Y7,3 Seasons,"Animation, Comedy, Coming of Age","Doug uses his imagination to navigate through tests of friendship, love, school, and growing up."
Movie,Disney's Fairy Tale Weddings,Chris Wilson,"Ben Higgins, Lauren Bushnell",,12-Nov-19,2017,TV-PG,64 min,"Family, Lifestyle, Reality",A look at the magical weddings at Disney Destinations.
Movie,Disney's Fairy Tale Weddings: Holiday Magic,Chris Wilson,"Stephen Boss, Allison Holker",,12-Nov-19,2017,TV-PG,42 min,"Family, Lifestyle, Reality",Holiday Disney weddings and proposals.
TV Show,Disney's Hercules: The Animated Series,,"Tate Donovan, Sandra Bernhard, Robert Costanzo, Matt Frewer, Bobcat Goldthwait, French Stewart",United States,12-Nov-19,1998,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Follow Herc's many labors during the years he spent training on how to be a hero.
TV Show,Disney's Kim Possible,,"Christy Romano, Will Friedle, Nancy Cartwright, Tahj Mowry","United States, Philippines, South Korea",12-Nov-19,2001,TV-G,4 Seasons,"Action-Adventure, Animation, Comedy","Kim Possible is a high school girl who, in her spare time, saves the world from evil villains."
TV Show,Disney's Little Einsteins,,"Erica Huang, Aiden Pompey, Jesse Schwartz, Natalia Wojcik",United States,12-Nov-19,2005,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids",This innovative new series provides preschoolers with new ways to hear and see music and art.
TV Show,Disney's Mighty Ducks,,"James Belushi, Brad Garrett, Jeff Bennett, Jennifer Hale, Clancy Brown, Tony Jay",United States,12-Nov-19,1996,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Hockey-loving alien ducks are stranded on Earth and must protect it from the evil Dragaunus.
TV Show,Disney's Recess,,"Rickey Collins, Jason Davis, Ashley Johnson, Ross Malinger, Courtland Mead, Pamela Segall",United States,12-Nov-19,1997,TV-Y7,3 Seasons,"Animation, Comedy, Kids",A portrayal of life at Third Street Elementary School.
TV Show,Disney's The Emperor's New School,,"Shane Baumel, Jessica DiCicco, Wendie Malick, Fred Tatasciore, Jeff Bennett, Jessie Flower",United States,12-Nov-19,2005,TV-G,2 Seasons,"Animation, Comedy, Coming of Age","Disney's The Emperor's New School is a unique comedy about Kuzco, a self-centered and spoiled teen."
Movie,Disney's The Kid,Jon Turteltaub,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride, Jean Smart",United States,12-Nov-19,2000,PG,105 min,"Comedy, Drama, Family",A man's life is upended when he meets an 8-year-old version of himself.
TV Show,Disney's The Little Mermaid (Series),,"Jodi Benson, Samuel Wright, Ken Mars, Edan Gross",United States,12-Nov-19,1992,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy","Follow Ariel's adventures as a mermaid living under the sea with her father, King Triton."
Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),Hamilton Luske,Walt Disney,United States,12-Nov-19,1966,TV-PG,51 min,"Documentary, Family, Variety",Walt Disney talks about Disneyland in 1966. See details for advisory.
Movie,Disneynature African Cats,Keith Scholey,Samuel Jackson,United States,12-Nov-19,2011,G,90 min,"Animals & Nature, Documentary, Family",Come face-to-face with the wildly majestic African lions of the savanna.
Movie,Disneynature Bears,"Alastair Fothergill, Keith Scholey",John Reilly,United States,12-Nov-19,2014,G,78 min,"Animals & Nature, Documentary, Family",A mother bear teaches her two impressionable cubs important life lessons.
Movie,Disneynature Born in China,Lu Chuan,John Krasinski,"United Kingdom, China, United States",12-Nov-19,2017,G,81 min,"Animals & Nature, Documentary, Family",Embrace the beauty of China's vast terrain – and the life that inhabits it.
Movie,Disneynature Chimpanzee,"Alastair Fothergill, Mark Linfield",Tim Allen,"Tanzania, United States",12-Nov-19,2012,G,79 min,"Animals & Nature, Documentary, Family",Meet a remarkable young chimpanzee who sees his world as his playground.
Movie,Disneynature Crimson Wing,"Matthew Aeberhard, Leander Ward",Mariella Frostrup,"United States, United Kingdom",12-Nov-19,2008,G,78 min,"Animals & Nature, Documentary, Family",A million flamingos struggle to survive in the remote Tanzanian wilderness.
Movie,Disneynature Monkey Kingdom,Mark Linfield,Tina Fey,United States,12-Nov-19,2015,G,82 min,"Animals & Nature, Documentary, Family","Forced from their home among ancient ruins, a mother monkey must lead her son to safety."
Movie,Disneynature Wings of Life,Louie Schwartzberg,Meryl Streep,"United States, Panama, Mexico",12-Nov-19,2011,G,81 min,"Animals & Nature, Documentary, Family","An intimate look at butterflies, hummingbirds, bees, bats and flowers."
TV Show,Dog Whisperer with Cesar Millan,,Cesar Millan,United States,12-Nov-19,2004,TV-G,6 Seasons,"Animals & Nature, Docuseries, Family",World-renowned dog expert Cesar Millan helps dogs and their owners overcome behavior issues.
Movie,Don't Look Under the Bed,Kenneth Johnson,"Erin Chambers, Eric Hodges II, Eric Hodges, Robin Riker, Steve Valentine, Jake Sakson",United States,12-Nov-19,1999,TV-PG,93 min,"Coming of Age, Fantasy",Teen Frances McCausland is framed for the Boogeyman's mischievous pranks.
Movie,Donald's Golf Game,Jack King,,United States,12-Nov-19,1938,TV-G,8 min,"Animation, Comedy, Family",Donald tries to impress his nephews at golfing. See details for advisory.
Movie,Donald's Tire Trouble,Dick Lundy,,United States,12-Nov-19,1943,TV-G,8 min,"Animation, Comedy, Family",Donald is frustrated in his attempts to fix a flat tire. See details for advisory.
Movie,Double Teamed,Duwayne Dunham,"Poppi Monroe, Annie McElwain, Teal Redmann, Nick Searcy, Tanya Goott, Joey Miyashima",United States,12-Nov-19,2002,TV-G,93 min,"Biographical, Sports",The WNBA's Burge twins inspire this film about sisterhood and teamwork.
Movie,Doug's 1st Movie,Maurice Joyce,"Thomas McHugh, Fred Newman, Chris Phillips, Constance Shulman, Frank Welker, Doug Preis",United States,12-Nov-19,1999,G,80 min,"Animation, Comedy, Family","Doug and his friends discover the ""monster"" of Lucky Duck Lake."
TV Show,"Dr. T, Lone Star Vet",,Dr. Lauren Thielen,United States,12-Nov-19,2019,TV-PG,1 Season,"Docuseries, Family, Medical","Dr. T, Lone Star Vet follows Dr. T as she faces the most compelling cases of her career."
Movie,DuckTales The Movie: Treasure of the Lost Lamp,Bob Hathcock,"Alan Young, Terence McGovern, Russi Taylor, Richard Libertini, Christopher Lloyd, June Foray","France, United States",12-Nov-19,1990,G,75 min,"Action-Adventure, Animation, Comedy",Scrooge and his nephews search for the long-lost loot of Collie Baba.
Movie,Dug's Special Mission,Ronnie Del Carmen,"Bob Peterson, Delroy Lindo, Jerome Ranft",United States,12-Nov-19,2009,TV-PG,6 min,"Animation, Comedy, Family",Dug finds where he belongs is not where he's been looking.
Movie,Dumbo,Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Alan Arkin, Nico Parker","United States, United Kingdom, Australia, Canada",12-Nov-19,2019,PG,117 min,"Action-Adventure, Family, Fantasy",A flying elephant helps show that differences and family can be cherished.
Movie,Early to Bed,Jack Kinney,,United States,12-Nov-19,1941,TV-G,9 min,"Animation, Comedy, Family",A ticking alarm clock keeps Donald awake. See details for advisory.
Movie,Earth Live,Glenn Weiss,"Jane Lynch, Phil Keoghan, Chris Packham",United States,12-Nov-19,2017,TV-PG,94 min,"Animals & Nature, Documentary, Family","Earth Live gives viewers a unique, live view of wildlife around the world."
Movie,Easter Island Unsolved,Geoff Luck,Peter Demeo,United States,12-Nov-19,2018,TV-14,45 min,"Documentary, Historical","Easter Island is a riddle, and its mysterious past may hold clues to its future."
Movie,Eddie's Million Dollar Cook-off,Paul Hoen,"Taylor Ball, Orlando Brown, Reiley McClendon, Mark Taylor, Rose McIver, Kylie Leydon",United States,12-Nov-19,2003,TV-G,86 min,"Comedy, Coming of Age, Sports",A baseball prodigy swings for the culinary fences in a cooking competition.
Movie,Eight Below,Frank Marshall,"Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson, Gerard Plunkett, August Schellenberg",United States,12-Nov-19,2006,PG,122 min,"Action-Adventure, Animals & Nature, Drama",An Antarctic storm threatens eight sled dogs alone in the wilderness.
TV Show,Elena of Avalor (Shorts),,"Aimee Carrero, Jenna Ortega, Maximus Riegel, Gia Lopez, Desmond Gerber, Mick Wingert",,12-Nov-19,2017,TV-Y,2 Seasons,"Action-Adventure, Animation, Fantasy",Elena travels to Vallestrella and trains with Zuzo!
Movie,Emil and the Detectives,Peter Tewksbury,"Walter Slezak, Roger Mobley, Heinz Schubert, Peter Ehrlich, Cindy Cassell, Elsa Wagner",United States,12-Nov-19,1964,TV-PG,98 min,"Action-Adventure, Crime, Family","When a young boy's money is stolen, the search is on for the thief."
Movie,Empire of Dreams: The Story of the Star Wars Trilogy,"Edith Becker, Kevin Burns","Robert Clotworthy, Walter Cronkite, Anthony Daniels, Warwick Davis, Carrie Fisher, Harrison Ford",United States,12-Nov-19,2004,TV-14,151 min,Documentary,"Explore the creation of Star Wars, a saga few thought could ever be made."
TV Show,Encore!,,"Kristen Bell, Roger Love, Susan Egan, Ali Stroker, Stephen Schwartz",United States,12-Nov-19,2019,TV-14,1 Season,"Music, Reality",Kristen Bell reunites former high school classmates to re-stage musicals they performed in the past.
Movie,Escape to Witch Mountain,John Hough,"Eddie Albert, Ray Milland, Donald Pleasence, Kim Richards, Ike Eisenmann, Walter Barnes",United States,12-Nov-19,1975,G,98 min,"Action-Adventure, Family, Fantasy",Two orphans with supernatural powers discover their mysterious past.
TV Show,Even Stevens,,"Shia LaBeouf, Christy Romano, Nick Spano, Tom Virtue, Donna Pescow",United States,12-Nov-19,2000,TV-PG,3 Seasons,"Comedy, Coming of Age, Kids","Louis, a seventh-grade misfit, struggles to fit in at school and in his seemingly perfect family."
Movie,Expedition Mars: Spirit & Opportunity,Mark Davis,Bray Poor,United States,12-Nov-19,2019,TV-PG,88 min,Documentary,"Expedition Mars explores the epic adventures of the Mars rovers, Spirit and Opportunity."
Movie,Fantasia,"Samuel Armstrong, James Algar, Bill Roberts","Deems Taylor, Walt Disney, Leopold Stokowski",United States,12-Nov-19,1940,G,126 min,"Animation, Family, Fantasy",Walt Disney's timeless masterpiece is an extravaganza of sight and sound. See details for advisory.
Movie,Fantasia 2000,"Pixote Hunt, Hendel Butoy, Eric Goldberg","Steve Martin, Itzhak Perlman, Quincy Jones, Bette Midler, James Jones, Penn Teller",United States,12-Nov-19,2000,G,76 min,"Animation, Family, Fantasy",A modern update of the Disney classic with new music and animation.
TV Show,Fantastic Four (Series),,"Beau Weaver, Lori Alan, Chuck McCann, Brian Green, Stan Lee, Pauline Lomas",United States,12-Nov-19,1994,TV-Y7,1 Season,"Action-Adventure, Animation, Kids","Reed Richards, Sue and Johnny Storm and pilot Ben Grimm are transformed into the Fantastic Four."
TV Show,Fantastic Four: World's Greatest Heroes,,"Christopher Jacot, Hiro Kanagawa, Lara Gilchrist, Brian Dobson",United States,12-Nov-19,2007,TV-Y7,1 Season,"Action-Adventure, Animation, Kids","Watch Mr. Fantastic, Invisible Woman, Human Torch, and Thing as they battle their greatest foes."
Movie,Ferdinand the Bull,Dick Rickard,,United States,12-Nov-19,1938,TV-G,8 min,"Animation, Comedy, Family",Ferdinand only wants to stop and smell the flowers. See details for advisory.
Movie,Finding Dory,"Andrew Stanton, Angus MacLane","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson, Hayden Rolence, Ty Burrell",United States,12-Nov-19,2016,PG,98 min,"Action-Adventure, Animation, Comedy",Dory sets off on a life-changing adventure to find her family.
